id,timestamp,username,action,resource_id,ip_address,status,details,user_agent
48,2025-11-09 13:07:17.764958+00,alice_hr,DOWNLOAD,46,172.18.0.1,SUCCESS,Role: manager,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/107.0.5510.0 Safari/536.0"
49,2025-11-09 13:07:17.812054+00,bob_dev,UPLOAD,47,,SUCCESS,Filename: test_data.txt,
50,2025-11-09 13:07:17.858698+00,carol_sales,VIEW_ATTEMPT,45,,FAILURE,User has no rights to this file.,
51,2025-11-09 13:07:17.950364+00,bob_dev,DOWNLOAD,47,172.18.0.1,SUCCESS,Role: manager,X11; Linux i686 Firefox/110.0
52,2025-11-09 13:07:18.010555+00,carol_sales,VIEW_ATTEMPT,45,,FAILURE,User has no rights to this file.,
53,2025-11-09 13:07:18.095997+00,alice_hr,VIEW,46,172.18.0.1,SUCCESS,,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/107.0.5510.0 Safari/536.0"
54,2025-11-09 13:07:18.232094+00,bob_dev,VIEW,45,172.18.0.1,SUCCESS,,X11; Linux i686 Firefox/110.0
55,2025-11-09 13:07:18.340675+00,carol_sales,VIEW_ATTEMPT,46,,FAILURE,User has no rights to this file.,
56,2025-11-09 13:07:18.680718+00,carol_sales,VIEW_ATTEMPT,43,,FAILURE,User has no rights to this file.,
57,2025-11-09 13:07:19.019474+00,bob_dev,VIEW,43,172.18.0.1,SUCCESS,,X11; Linux i686 Firefox/110.0
58,2025-11-09 13:07:19.182193+00,carol_sales,VIEW_ATTEMPT,42,,FAILURE,User has no rights to this file.,
59,2025-11-09 13:07:19.220799+00,alice_hr,VIEW,46,172.18.0.1,SUCCESS,,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/107.0.5510.0 Safari/536.0"
60,2025-11-09 13:07:19.802+00,bob_dev,DOWNLOAD,42,172.18.0.1,SUCCESS,Role: manager,X11; Linux i686 Firefox/110.0
61,2025-11-09 13:07:19.841777+00,alice_hr,DOWNLOAD,46,172.18.0.1,SUCCESS,Role: manager,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/107.0.5510.0 Safari/536.0"
62,2025-11-09 13:07:19.856897+00,carol_sales,VIEW_ATTEMPT,45,,FAILURE,User has no rights to this file.,
63,2025-11-09 13:07:19.993254+00,alice_hr,DOWNLOAD,46,172.18.0.1,SUCCESS,Role: manager,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/107.0.5510.0 Safari/536.0"
64,2025-11-09 13:07:20.156762+00,carol_sales,UPLOAD,48,,SUCCESS,Filename: test_data.txt,
70,2025-11-09 13:07:21.348834+00,carol_sales,VIEW_ATTEMPT,50,,FAILURE,User has no rights to this file.,
72,2025-11-09 13:07:21.426364+00,alice_hr,VIEW,46,172.18.0.1,SUCCESS,,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/107.0.5510.0 Safari/536.0"
76,2025-11-09 13:07:22.092421+00,bob_dev,UPLOAD,55,,SUCCESS,Filename: test_data.txt,
78,2025-11-09 13:07:22.331031+00,alice_hr,UPLOAD,56,,SUCCESS,Filename: test_data.txt,
84,2025-11-09 13:07:23.010889+00,alice_hr,UPLOAD,58,,SUCCESS,Filename: test_data.txt,
94,2025-11-09 13:07:24.824774+00,bob_dev,DOWNLOAD,43,172.18.0.1,SUCCESS,Role: manager,X11; Linux i686 Firefox/110.0
103,2025-11-09 13:07:25.72845+00,eve_intern,DOWNLOAD,54,172.18.0.1,SUCCESS,Role: manager,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/41.0.857.0 Safari/534.0"
109,2025-11-09 13:07:26.47917+00,bob_dev,DOWNLOAD,43,172.18.0.1,SUCCESS,Role: manager,X11; Linux i686 Firefox/110.0
115,2025-11-09 13:07:27.590216+00,carol_sales,VIEW_ATTEMPT,58,,FAILURE,User has no rights to this file.,
118,2025-11-09 13:07:27.817488+00,bob_dev,VIEW,57,172.18.0.1,SUCCESS,,X11; Linux i686 Firefox/110.0
122,2025-11-09 13:07:28.758007+00,eve_intern,UPLOAD,64,,SUCCESS,Filename: test_data.txt,
129,2025-11-09 13:07:29.554344+00,bob_dev,UPLOAD,67,,SUCCESS,Filename: test_data.txt,
131,2025-11-09 13:07:29.751515+00,carol_sales,DOWNLOAD,65,172.18.0.1,SUCCESS,Role: manager,"Mozilla/5.0 (Unknown; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
141,2025-11-09 13:07:30.928537+00,carol_sales,VIEW,62,172.18.0.1,SUCCESS,,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; the-NP) AppleWebKit/531.3.4 (KHTML, like Gecko) Version/3.0.5 Mobile/8B114 Safari/6531.3.4"
144,2025-11-09 13:07:31.14946+00,alice_hr,DOWNLOAD,58,172.18.0.1,SUCCESS,Role: manager,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/107.0.5510.0 Safari/536.0"
155,2025-11-09 13:07:32.523791+00,eve_intern,DOWNLOAD,64,172.18.0.1,SUCCESS,Role: manager,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/41.0.857.0 Safari/534.0"
160,2025-11-09 13:07:33.083729+00,eve_intern,VIEW,54,172.18.0.1,SUCCESS,,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/41.0.857.0 Safari/534.0"
162,2025-11-09 13:07:33.202219+00,alice_hr,VIEW,56,172.18.0.1,SUCCESS,,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/107.0.5510.0 Safari/536.0"
164,2025-11-09 13:07:33.617678+00,bob_dev,UPLOAD,74,,SUCCESS,Filename: test_data.txt,
166,2025-11-09 13:07:34.088813+00,alice_hr,UPLOAD,75,,SUCCESS,Filename: test_data.txt,
171,2025-11-09 13:07:34.602389+00,alice_hr,VIEW,58,172.18.0.1,SUCCESS,,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/107.0.5510.0 Safari/536.0"
